idpub,CESD,Marital_status,School_rank,IQ,SE_status_parents,Town_population,Agreeableness,Conscientiousnes,Extraversion, Neuroticism,Openness,Kidsno,Years_of_education,Age_at_first_birth,Autonomy,Self_Acceptance,No_emp_spell,Social_part_1,Family_Stress,additional_child,trt
905786,27,1,79,93,6,3,32,31,29,15,21,3,12,225,32,35,8,2,17,0,1
905819,9,1,97,139,9,5,36,25,36,14,30,1,17,324,32,37,4,1,4,0,0
905854,32,1,84,104,21,9,28,28,23,24,20,1,12,188,27,14,0,0,15,0,1
905864,3,1,62,117,9,4,26,29,18,15,19,7,12,200,28,24,2,0,10,0,0
905949,35,1,86,96,29,5,28,35,24,21,18,2,17,269,25,22,4,3,12,1,1
905959,31,1,85,115,26,4,26,32,25,19,17,3,15,236,31,29,1,3,13,0,0
905999,13,1,55,85,4,4,26,25,20,21,23,2,14,313,33,22,1,0,10,0,0
906039,23,0,84,120,5,4,28,30,13,16,13,4,12,203,19,20,3,0,11,3,0
906050,28,1,96,104,35,4,25,25,31,18,17,6,15,241,15,29,1,1,13,0,0
906056,4,1,90,113,18,2,33,31,24,15,23,2,14,229,31,41,1,3,11,0,0
906085,8,1,77,99,6,4,31,29,20,11,17,6,12,225,29,33,1,4,8,0,0
906106,14,1,61,106,7,4,30,33,20,18,17,2,12,246,22,38,3,1,10,0,0
906152,0,1,30,103,30,4,33,35,25,13,21,2,16,317,11,30,4,0,6,0,0
906159,22,1,70,91,21,6,15,20,21,14,24,2,13,214,31,27,8,4,14,0,0
906160,64,1,72,117,17,7,33,36,29,23,24,4,12,184,23,18,1,2,8,0,0
906162,44,1,35,85,17,4,33,28,36,26,21,3,12,212,29,27,4,1,12,1,0
906171,1,1,55,98,3,2,35,35,20,18,23,1,18,328,35,41,1,0,13,1,0
906184,35,1,66,82,4,2,21,26,22,27,17,4,12,249,25,28,1,2,10,0,0
906225,15,1,84,107,14,3,31,23,18,21,22,2,15,269,26,33,2,3,9,0,0
906241,23,1,10,99,11,2,29,28,26,24,17,6,12,200,18,30,3,1,9,0,0
906265,0,0,75,107,20,3,36,36,23,9,28,3,15,228,38,42,1,0,6,0,0
906302,0,1,18,88,7,3,33,35,24,12,18,4,13,211,37,42,2,1,7,0,0
906380,33,1,89,106,8,4,24,30,24,24,18,3,12,230,33,26,1,3,8,0,0
906408,2,1,74,99,28,6,29,33,30,12,29,4,15,228,28,33,4,5,9,0,0
906440,7,1,46,79,4,6,30,35,25,15,21,3,12,200,36,42,1,1,6,0,0
906448,22,1,75,97,12,3,21,32,27,19,21,2,13,222,32,26,1,2,17,0,0
906452,15,1,95,124,7,6,33,34,17,12,20,4,15,208,28,35,1,4,8,0,0
906454,21,1,34,97,9,6,17,34,21,27,19,2,12,210,28,24,7,4,6,0,0
906467,5,1,53,81,15,5,36,34,21,6,29,3,12,225,37,42,1,4,7,1,0
906495,39,1,87,101,6,2,31,30,23,17,18,3,16,245,26,25,1,2,10,0,0
906514,8,1,36,121,23,5,26,25,24,19,24,2,14,293,40,34,1,4,9,0,0
906516,22,1,85,93,3,5,34,29,22,13,15,6,13,211,21,32,1,2,10,0,0
906541,19,1,73,101,16,3,35,26,24,16,30,3,16,274,35,39,1,3,10,0,0
906587,15,1,68,102,13,3,36,35,21,9,22,2,12,241,31,37,2,2,9,0,0
906590,11,1,82,82,2,3,26,24,23,18,23,4,12,207,25,27,3,2,11,0,0
906602,2,1,65,83,11,2,36,35,22,8,23,2,12,235,22,42,3,1,6,0,0
906616,17,1,92,117,15,9,22,32,30,17,28,1,16,305,40,32,1,2,8,0,0
906623,6,1,59,92,33,3,25,35,32,14,29,1,15,311,41,36,1,2,5,0,0
906670,19,1,62,99,21,6,20,34,27,18,16,2,12,189,31,33,4,0,5,0,0
906701,7,1,83,109,9,4,31,33,21,15,16,5,12,193,24,40,4,1,7,0,0
906709,12,1,45,106,27,8,26,29,19,16,20,2,16,280,26,32,1,2,11,0,0
906727,3,1,60,89,28,2,36,28,26,14,19,3,15,220,34,39,2,5,5,0,0
906763,17,1,75,91,12,3,24,27,20,18,24,8,14,186,33,42,3,2,10,0,0
906783,7,1,89,117,17,2,35,26,24,11,16,4,15,227,22,32,4,3,10,2,0
906786,25,1,47,86,30,4,27,29,31,12,20,3,12,210,36,39,2,2,12,0,0
906791,24,1,50,85,13,2,27,23,24,14,20,2,12,220,29,35,2,2,5,0,0
906811,14,1,44,102,12,5,35,26,16,23,22,3,12,193,24,27,3,1,5,0,0
906815,1,1,49,102,16,4,28,29,23,17,22,4,12,202,24,34,1,1,9,2,0
906861,15,1,47,86,4,9,30,32,26,7,23,3,12,209,34,35,1,5,10,0,0
906872,0,1,0,97,11,3,36,35,24,15,23,3,12,190,37,42,2,1,4,0,0
906879,2,0,28,76,19,5,36,36,33,10,31,2,12,191,40,40,3,3,7,0,0
906894,36,1,98,123,36,4,24,25,10,19,23,3,16,298,13,15,3,5,18,0,0
906906,4,1,61,94,21,3,32,31,23,15,16,3,12,220,27,31,1,2,8,0,0
906911,74,1,56,81,15,4,26,25,25,22,22,3,13,197,26,20,2,2,9,0,0
906942,8,1,79,121,15,4,27,31,15,13,26,3,14,256,32,34,1,4,9,0,0
906969,71,1,23,91,13,3,26,25,32,25,16,5,13,203,20,20,3,3,12,0,1
906983,32,1,33,75,22,4,23,25,22,19,22,2,13,216,33,35,2,3,13,4,0
907010,1,1,83,99,20,6,34,19,24,5,31,2,12,273,38,42,2,0,5,1,0
907013,23,1,82,118,12,6,30,26,15,20,28,3,17,231,27,36,4,2,15,0,0
907033,15,1,43,109,16,5,32,32,22,20,25,2,12,225,34,39,2,3,9,0,0
907042,14,1,66,123,26,9,27,29,18,13,23,1,13,312,30,35,1,0,4,0,0
907044,21,1,84,109,25,4,31,32,18,10,23,2,16,250,38,31,4,2,8,0,0
907095,9,1,76,106,17,2,28,32,21,19,18,1,12,209,28,41,1,0,7,0,0
907097,8,0,99,118,14,6,24,29,27,16,22,1,16,214,33,34,1,4,10,4,0
907117,33,0,58,93,23,2,25,27,23,16,25,2,16,223,33,32,3,2,5,0,0
907158,8,1,71,92,3,9,24,25,17,14,21,2,12,188,33,34,2,0,8,4,0
907164,26,0,71,97,16,9,29,27,26,18,21,2,13,335,32,42,3,0,9,0,0
907211,0,1,92,106,28,2,34,36,31,13,29,2,16,276,39,42,1,3,5,0,0
907213,18,1,89,91,3,4,24,30,19,24,20,2,15,295,33,35,1,1,12,0,0
907256,11,1,75,106,6,4,31,36,16,18,22,1,12,235,36,41,1,0,8,0,0
907267,15,1,72,118,27,7,34,33,26,17,26,2,16,208,23,26,3,3,17,0,0
907282,13,1,36,97,21,9,18,10,11,17,2,2,12,230,29,37,1,2,9,0,0
907286,9,1,88,115,21,6,34,35,27,16,16,2,12,219,40,38,2,1,7,-1,0
907293,50,1,71,123,6,2,32,32,23,19,22,3,12,263,28,23,7,2,16,0,0
907304,22,1,33,91,18,4,24,29,21,24,20,2,14,237,28,31,2,1,9,0,0
907308,3,1,83,102,24,6,24,34,22,13,21,5,15,240,34,36,1,4,4,0,0
907325,37,1,17,88,12,6,34,28,27,30,23,4,13,219,32,41,1,4,5,0,0
907344,0,1,73,106,20,7,29,32,32,9,30,4,14,234,40,38,3,4,5,0,0
907370,27,1,82,117,17,4,27,36,31,22,18,4,15,215,37,40,3,2,11,0,0
907393,20,1,70,115,41,4,29,23,18,13,28,4,15,220,33,32,3,1,7,0,0
907439,20,1,65,89,12,4,25,31,26,18,18,2,13,219,23,33,7,1,8,0,0
907456,7,1,40,83,24,3,26,32,26,13,22,3,12,203,42,37,3,9,12,2,1
907465,4,1,61,101,4,4,27,29,27,13,25,1,12,303,32,32,4,2,9,0,0
907529,12,1,61,117,45,7,25,30,31,18,27,2,16,250,25,28,3,4,13,0,0
907533,22,1,86,125,14,9,28,30,26,9,32,6,12,206,30,42,10,3,11,0,0
907536,20,1,83,101,19,6,32,27,22,19,10,4,12,224,9,25,2,2,10,0,0
907569,13,1,59,94,23,6,34,26,20,18,22,4,12,192,25,30,2,2,6,0,0
907600,12,1,63,92,9,9,24,24,19,15,19,2,12,219,22,29,2,0,8,2,0
907621,30,1,7,82,27,4,36,23,19,27,20,2,12,202,26,34,2,0,12,0,0
907623,19,0,93,125,40,5,19,23,33,21,32,1,18,237,34,41,8,9,4,4,0
907661,9,1,34,88,24,4,36,29,21,13,12,5,13,215,28,33,6,3,6,0,0
907662,2,1,43,102,25,4,28,28,27,13,20,2,14,334,28,37,1,1,8,0,0
907664,12,1,89,109,14,4,30,26,23,14,18,5,12,211,36,41,3,2,9,0,0
907690,11,1,94,96,20,3,33,31,18,9,31,6,12,198,41,37,2,1,9,0,0
907697,22,1,88,112,8,2,33,34,27,24,24,2,12,263,23,31,1,2,12,0,0
907729,2,1,66,107,19,5,34,25,36,13,26,1,13,245,42,40,2,5,8,0,0
907732,20,1,19,98,6,9,28,24,21,17,19,2,12,204,36,40,1,1,12,0,0
907738,0,1,43,102,10,3,35,24,35,9,14,4,12,221,35,42,1,2,8,0,0
907748,12,1,80,121,15,9,25,31,20,18,20,2,14,225,30,35,2,4,11,0,0
907784,1,1,23,77,7,2,33,30,30,6,14,4,13,221,36,37,1,1,10,0,0
907814,5,1,91,127,27,2,30,30,19,8,22,2,16,245,39,34,3,2,10,0,0
907833,11,1,21,85,15,6,34,33,28,15,27,3,12,204,37,33,3,2,8,0,0
907841,10,1,65,109,35,7,32,33,21,11,26,1,15,332,31,30,1,1,6,0,0
907846,35,1,23,83,3,6,24,23,20,18,19,3,12,268,26,22,2,2,8,0,0
907852,11,1,91,115,14,3,25,29,19,10,19,4,15,234,33,36,2,4,10,1,0
907863,4,0,24,91,12,6,28,28,27,14,21,3,12,201,31,33,3,0,8,3,0
907872,10,1,77,103,15,4,29,29,24,22,17,5,12,205,27,35,2,1,11,0,0
907875,25,1,50,113,4,3,28,31,20,17,14,2,12,198,31,30,0,3,8,0,0
907880,7,1,18,91,16,9,36,32,23,14,12,2,12,228,39,42,4,4,10,1,0
907915,15,1,94,99,9,4,35,34,26,7,26,3,15,200,28,37,3,2,9,0,0
907931,1,1,37,92,12,9,32,35,27,10,21,4,12,210,37,39,3,1,9,0,0
907979,21,1,46,89,30,9,32,21,28,20,22,3,12,218,32,36,2,4,9,0,0
908001,12,1,92,121,36,4,23,32,22,17,27,2,16,265,29,38,4,2,11,0,0
908005,13,1,59,112,3,4,32,33,30,17,21,2,12,239,35,35,1,0,9,0,0
908007,17,1,23,83,21,6,27,33,24,10,19,5,12,199,31,40,1,2,5,0,0
908008,87,0,35,94,2,5,20,34,28,24,13,3,12,222,28,10,2,2,17,0,1
908011,22,1,72,94,6,4,25,33,22,19,20,1,18,257,23,26,1,1,11,0,0
908027,14,1,86,124,32,6,26,23,22,17,25,3,12,228,27,31,2,2,13,3,1
908043,29,1,59,112,6,2,32,31,29,9,26,2,13,186,34,33,2,2,8,1,0
908076,12,1,62,101,17,3,34,34,32,13,27,4,13,208,39,40,3,3,8,0,0
908099,10,1,90,103,8,2,35,35,27,7,26,2,16,270,36,40,2,4,19,0,0
908124,102,1,7,104,14,2,26,27,26,22,20,6,12,185,17,15,10,2,8,0,0
908129,33,1,19,98,10,2,29,30,26,19,20,4,12,201,26,32,2,1,8,0,0
908139,3,1,67,113,5,2,30,32,28,20,24,2,17,233,31,38,2,1,8,0,0
908162,13,1,57,87,3,2,27,24,20,21,20,4,12,189,27,29,4,0,9,0,0
908191,13,1,51,93,22,2,30,23,16,14,23,2,16,297,31,34,1,1,8,0,0
908193,12,1,81,94,14,2,24,27,24,20,18,2,12,243,31,39,4,3,14,1,0
908194,12,1,63,102,10,6,28,32,12,21,21,2,12,198,37,32,2,1,10,0,0
908198,35,1,76,102,41,6,35,27,31,17,28,2,16,256,20,17,2,4,15,2,0
908202,2,1,89,102,32,6,30,36,36,8,31,1,15,326,37,38,3,1,4,0,0
908208,12,1,89,115,15,9,24,32,22,19,21,4,16,243,32,36,4,2,12,0,0
908303,8,1,45,89,7,2,34,32,18,19,26,5,12,211,33,27,2,0,8,0,0
908356,6,1,50,87,9,4,31,35,18,17,18,3,13,202,24,33,1,1,10,0,0
908360,9,1,82,102,21,2,21,30,29,16,13,2,12,241,27,38,3,0,10,0,1
908361,15,1,45,87,4,3,31,30,29,16,17,2,12,219,28,35,1,3,5,0,0
908392,13,1,57,127,27,8,33,28,19,6,24,3,16,247,41,42,1,6,13,1,0
908411,8,1,72,101,7,4,28,33,26,10,24,4,12,223,30,32,12,5,9,0,1
908414,15,1,74,96,16,6,28,34,10,21,15,3,12,190,32,38,2,1,8,0,1
908436,9,1,20,73,7,7,31,30,22,14,20,2,12,217,34,39,3,0,8,0,0
908446,8,1,28,86,11,3,33,20,26,9,21,3,12,210,36,38,1,0,6,0,0
908456,33,1,79,99,25,7,18,33,28,22,32,2,19,248,34,39,8,5,14,1,0
908461,24,1,90,124,15,6,33,30,25,10,33,2,12,268,35,33,1,6,10,0,0
908476,66,1,34,85,24,8,34,19,18,18,18,3,13,213,22,32,0,2,15,0,0
908493,0,1,76,99,18,4,33,26,26,16,28,3,15,255,41,38,3,5,12,2,0
908500,7,1,93,121,26,3,24,24,17,19,25,2,17,258,27,24,7,4,12,0,0
908524,0,1,85,129,41,9,31,26,19,12,29,3,16,247,39,40,2,0,9,0,0
908556,0,1,95,109,5,3,25,27,23,22,19,3,13,234,30,38,1,3,12,1,0
908571,3,1,51,103,10,3,29,25,32,14,25,3,12,182,41,39,1,3,4,0,1
908596,9,1,29,73,5,9,34,30,25,12,25,2,12,210,40,40,1,1,8,0,0
908604,22,1,64,112,11,5,29,31,16,26,19,4,12,220,24,33,2,2,10,0,0
908629,31,1,59,104,20,4,31,33,22,18,23,4,12,197,32,39,2,2,9,0,0
908633,8,1,83,98,14,3,27,32,25,19,23,3,16,305,25,32,1,0,13,0,0
908656,19,1,65,97,14,4,27,30,19,26,17,3,12,210,32,27,3,1,11,0,1
908664,8,1,48,109,15,2,31,25,23,19,19,5,12,182,34,35,3,3,7,0,0
908675,29,1,13,86,22,3,25,25,21,21,20,4,12,223,26,29,1,5,8,1,0
908703,5,1,98,129,47,6,29,34,22,9,24,1,14,253,33,32,2,3,4,1,0
908706,19,1,81,117,17,4,26,27,21,17,17,2,12,231,28,31,1,3,8,0,0
908730,6,1,80,98,15,5,35,35,31,16,27,3,16,272,35,40,1,4,9,0,1
908745,1,1,59,88,28,6,36,33,35,8,19,4,13,225,39,42,3,3,8,0,0
908753,13,1,87,103,30,4,31,21,32,21,32,3,16,255,32,30,2,4,12,1,1
908775,28,0,97,124,22,6,24,25,19,25,32,3,16,245,32,29,2,2,6,0,0
908835,4,1,98,121,27,4,31,27,29,15,20,2,12,222,28,38,2,1,7,0,0
908872,13,1,49,87,3,4,27,32,17,20,13,2,12,268,21,32,2,1,8,1,0
908874,4,1,90,113,4,4,31,29,23,8,23,3,12,254,30,37,2,2,6,0,0
908899,8,1,12,78,11,3,35,29,29,14,25,3,12,204,35,35,2,3,11,0,0
908971,41,1,35,92,2,8,25,26,16,23,20,1,13,276,27,28,1,0,12,0,0
908975,0,1,56,96,5,4,32,32,25,17,17,3,13,235,34,40,3,6,5,0,0
908990,18,1,62,96,3,2,24,25,24,16,19,2,12,226,19,33,2,1,8,0,0
908992,12,1,86,129,12,4,31,30,25,16,22,3,15,230,31,37,2,1,10,0,0
909009,22,1,75,109,4,2,23,32,22,25,16,2,14,235,25,27,1,6,6,1,1
909057,1,1,99,127,49,9,27,34,33,16,24,2,17,303,32,42,1,7,12,0,0
909107,3,1,54,96,11,2,25,26,28,12,13,4,12,198,27,34,4,2,9,0,0
909108,35,1,47,96,20,2,31,28,13,24,18,3,12,189,24,26,2,3,11,6,0
909122,13,0,16,92,18,7,28,35,26,20,23,2,12,190,37,34,1,0,7,0,0
909134,20,1,48,93,5,3,19,32,20,24,15,1,12,196,26,35,1,1,10,0,0
909151,11,1,88,133,5,3,34,34,31,10,24,3,15,259,38,37,2,2,8,0,0
909191,14,1,85,92,5,3,28,28,9,16,18,4,12,201,24,30,2,3,7,0,0
909192,95,1,70,112,19,3,27,23,20,16,26,3,16,272,21,13,2,1,7,0,1
909201,4,1,98,112,24,7,32,36,28,28,18,1,18,288,11,27,1,4,4,1,0
909224,36,1,90,97,26,6,32,33,19,20,18,3,12,209,28,32,4,3,11,0,0
909237,78,1,34,107,15,4,34,29,17,19,16,4,12,224,17,18,1,2,8,0,0
909254,15,1,94,120,33,6,27,32,14,19,11,3,12,200,26,32,3,1,8,3,0
909266,0,1,65,102,7,3,30,33,27,11,14,8,12,178,41,40,1,2,12,1,0
909287,6,1,97,133,6,2,29,35,13,9,23,2,16,284,32,37,3,1,4,0,0
909293,3,1,76,78,34,4,35,35,27,18,21,2,15,237,36,39,1,2,9,0,0
909304,16,1,55,89,6,3,36,35,26,15,23,3,12,213,34,40,2,4,6,-3,0
909337,11,1,87,107,3,3,29,30,24,16,15,4,13,261,26,26,3,2,10,0,0
909369,19,1,66,121,12,2,31,25,29,19,20,2,12,180,35,34,1,2,12,0,0
909457,7,1,62,99,6,4,28,30,32,12,24,2,13,303,27,32,2,3,8,0,0
909458,14,1,98,123,5,2,28,29,28,14,32,2,16,248,31,37,3,4,13,0,0
909470,4,1,72,93,12,7,34,35,21,21,23,1,12,205,35,34,2,5,9,1,0
909472,17,1,72,118,44,4,34,31,20,11,26,3,16,241,32,32,2,6,7,0,0
909519,15,1,13,87,29,6,30,31,21,13,17,3,12,209,28,37,1,3,7,1,0
909573,32,1,89,118,36,6,27,18,12,12,11,2,17,282,19,21,2,2,8,1,0
909606,15,1,54,99,39,8,31,24,19,16,29,3,13,213,27,34,2,2,12,0,0
909646,5,1,77,109,17,7,22,25,22,18,20,5,14,230,29,40,2,2,8,0,0
909679,5,1,58,121,17,4,35,32,22,17,24,2,12,205,24,39,2,5,10,0,0
909748,14,1,55,101,23,9,26,29,27,17,16,3,12,248,29,38,1,2,5,0,0
909768,19,1,62,89,8,9,31,24,25,20,17,4,13,249,20,21,2,1,9,1,0
909800,5,1,75,117,36,9,28,31,27,7,22,1,15,344,36,33,3,0,8,0,0
909849,8,1,40,109,11,9,33,26,31,11,21,5,12,205,34,36,4,3,14,0,0
909852,32,1,97,92,10,2,33,25,20,15,19,5,15,222,22,26,3,3,8,1,0
909861,11,1,66,113,15,5,24,23,23,19,23,2,13,227,30,34,2,1,4,0,0
909868,19,1,99,139,17,6,29,30,31,14,28,2,21,295,30,31,3,5,9,0,0
909965,27,1,47,102,19,5,24,27,26,18,25,2,12,244,30,26,3,1,9,0,0
909989,3,1,49,103,4,4,33,34,33,19,30,2,12,222,39,37,7,1,5,4,0
910022,1,1,96,109,18,4,29,35,24,12,28,2,16,261,33,42,1,3,6,0,0
910026,21,1,26,79,20,2,23,22,21,19,17,2,12,204,22,33,1,0,10,0,1
910063,13,1,74,118,9,3,22,28,23,14,28,2,12,207,40,34,4,1,10,0,0
910066,48,1,77,111,23,9,20,26,23,22,21,4,12,210,22,21,8,1,9,0,0
910121,7,1,78,115,8,4,25,27,23,17,20,3,12,232,24,28,2,0,6,0,0
910148,13,1,85,124,15,5,29,26,16,13,20,2,15,225,29,29,1,6,8,0,0
910182,0,0,63,111,4,2,36,36,32,8,29,3,12,204,42,37,7,6,4,0,0
910184,14,1,80,125,21,9,35,30,25,17,30,3,15,223,24,38,1,0,14,0,0
910203,17,1,68,103,33,5,28,34,15,16,26,2,16,236,24,32,3,4,9,0,0
910231,4,1,32,91,7,6,31,24,23,18,19,2,13,235,32,42,1,1,8,0,0
910234,10,1,68,102,7,2,22,24,18,23,20,1,12,206,25,27,1,2,9,0,0
910280,38,1,57,103,20,6,24,27,12,30,14,4,14,204,14,22,3,0,12,0,0
910284,21,1,35,98,22,7,28,30,22,19,24,4,14,203,20,18,4,3,15,0,0
910291,6,1,78,129,20,4,36,29,19,12,26,3,12,204,25,31,3,1,8,6,1
910321,23,1,22,77,10,3,29,24,20,19,19,5,12,196,25,30,1,5,8,2,0
910326,0,1,89,106,23,3,25,30,27,14,24,3,12,196,29,29,3,4,11,0,0
910400,0,1,51,98,31,3,32,35,33,20,21,3,16,238,30,42,2,6,4,0,0
910410,14,1,45,106,24,6,36,33,22,16,30,2,13,192,38,32,2,4,10,0,0
910414,3,1,72,104,21,4,33,25,21,13,26,5,13,195,33,36,2,7,8,0,0
910424,8,0,79,109,11,6,27,35,27,9,26,1,16,298,35,38,1,5,7,0,0
910435,15,1,22,101,70,8,28,28,27,14,27,4,15,230,42,42,2,5,9,0,0
910447,5,1,43,103,34,9,29,32,28,23,17,5,12,191,28,39,0,3,13,0,0
910450,16,1,61,111,27,9,33,32,26,11,22,5,13,220,33,38,2,2,8,0,0
910465,12,1,88,123,6,3,31,30,22,23,18,2,12,238,27,25,3,1,10,0,0
910475,16,1,69,93,11,7,33,26,24,21,11,4,12,205,33,42,1,0,10,1,0
910484,25,1,39,94,15,9,30,24,23,17,18,4,12,239,30,34,1,4,10,0,0
910485,7,1,72,107,4,4,36,32,25,15,22,4,12,229,35,41,3,4,7,0,0
910501,12,1,41,113,8,7,29,25,20,20,16,1,13,235,30,28,3,1,14,2,0
910541,0,1,51,102,14,3,25,26,25,17,22,2,13,218,40,40,2,0,5,0,0
910542,11,1,51,91,14,9,34,29,22,22,21,2,13,255,41,39,2,1,5,0,0
910543,30,0,92,89,6,5,19,36,34,18,29,4,15,207,32,28,4,8,4,0,1
910552,3,1,64,102,2,2,27,29,16,19,19,2,12,231,21,35,2,3,9,5,0
910581,18,1,59,125,34,7,27,29,21,19,20,1,14,226,33,42,3,3,8,0,0
910600,27,1,39,99,21,7,29,28,27,15,18,3,15,252,24,29,1,3,8,0,0
910627,7,1,96,109,5,9,30,31,24,19,19,3,12,212,29,38,3,1,9,0,0
910629,15,1,64,109,13,3,24,29,28,19,21,2,13,236,28,26,1,1,9,0,0
910636,5,1,47,97,12,2,30,33,24,11,21,5,13,205,29,32,2,3,7,0,1
910637,13,1,70,115,6,4,27,28,25,18,15,3,13,211,34,38,1,2,10,0,0
910689,7,1,85,111,34,7,27,27,25,18,21,2,14,210,29,38,0,2,7,1,0
910763,16,1,87,102,15,9,30,26,28,16,19,2,12,260,36,32,9,2,7,2,0
910766,4,1,48,103,9,4,28,31,25,9,19,4,15,223,33,41,2,2,7,0,0
910793,17,1,79,123,28,5,30,35,21,17,32,3,13,207,33,34,9,5,10,6,0
910803,12,1,79,104,14,5,33,34,21,9,18,3,15,229,35,41,2,2,4,0,0
910820,23,1,69,97,6,3,28,22,18,24,23,4,12,201,25,24,1,1,10,0,1
910842,2,1,82,109,2,4,29,26,30,19,21,2,12,256,33,37,1,0,9,0,0
910845,19,1,37,86,10,9,16,25,25,17,11,7,12,217,24,22,1,3,8,0,0
910857,22,1,16,83,11,4,30,28,19,20,22,2,12,190,36,28,2,2,11,0,0
910873,9,1,59,96,11,6,34,30,23,11,21,3,12,257,35,37,1,7,12,0,0
910880,27,1,80,103,5,4,27,28,18,28,11,3,12,214,27,31,1,3,9,0,0
910923,14,1,68,91,8,2,25,27,21,15,20,2,12,245,26,34,2,2,5,0,0
910960,19,1,83,102,4,2,32,28,22,16,14,1,12,298,29,31,1,4,8,2,0
910991,4,1,97,139,22,4,32,29,32,11,25,1,17,343,37,38,1,1,12,1,0
911017,39,1,39,75,31,6,35,28,17,23,13,3,12,220,22,29,7,3,9,0,0
911021,27,1,91,107,12,4,29,32,24,18,20,3,12,223,32,40,1,6,10,0,0
911032,6,1,73,109,23,2,29,30,27,17,20,2,14,226,32,35,2,3,9,0,0
911082,5,1,29,93,6,2,26,31,19,17,15,3,15,259,33,36,1,4,12,0,0
911093,79,1,30,92,3,3,26,18,10,20,15,2,12,235,23,18,2,1,12,0,0
911123,33,1,52,103,9,5,20,28,23,23,11,5,12,199,28,27,1,2,14,0,0
911147,9,1,90,113,21,4,26,27,32,19,28,3,16,218,27,38,2,3,5,2,0
911149,2,1,78,98,13,3,32,34,35,9,23,5,12,185,42,41,1,3,5,0,0
911213,0,1,78,98,17,7,25,32,24,22,12,2,12,254,27,28,1,3,11,0,0
911261,41,1,89,123,5,2,28,29,18,16,26,3,15,213,30,37,4,1,11,0,0
911266,19,1,65,104,10,2,24,25,21,12,30,3,16,239,28,18,3,3,9,0,1
911280,22,1,47,98,2,9,30,33,29,14,22,2,13,295,26,37,4,3,8,0,0
911305,12,1,99,121,22,7,29,25,20,14,29,2,16,237,32,37,9,5,7,0,0
911330,19,1,25,78,12,6,22,21,23,22,20,4,12,192,28,30,4,1,12,0,0
911357,11,1,89,113,20,7,24,28,20,19,21,3,18,244,31,30,3,5,11,0,0
911385,4,1,32,83,13,7,30,26,22,14,24,3,13,208,34,36,2,1,11,0,0
911410,0,1,86,92,3,6,32,35,25,15,16,3,12,205,27,36,1,5,7,0,0
911425,19,1,71,104,4,6,26,26,23,12,20,3,12,215,28,34,1,0,9,0,1
911434,1,1,77,102,10,3,25,36,30,11,30,2,14,283,38,42,1,0,8,1,0
911448,26,1,87,124,17,7,35,26,35,9,29,3,13,241,41,38,4,5,7,0,0
911546,21,1,72,99,21,8,6,16,20,6,10,3,12,189,30,31,1,2,11,0,0
911569,14,1,96,111,20,6,35,24,18,15,26,3,13,209,38,30,2,3,8,0,0
911601,26,1,96,117,37,6,33,32,20,14,25,3,16,295,32,26,2,1,8,0,0
911605,33,1,50,96,11,2,32,31,19,10,13,3,18,279,27,37,2,1,10,0,0
911620,7,1,79,113,5,3,32,30,33,10,28,2,15,331,38,42,1,0,10,0,0
911652,0,1,47,81,14,2,30,32,19,11,17,4,12,209,35,37,2,2,9,3,0
911658,10,1,72,109,17,6,34,33,31,10,30,1,15,336,30,39,8,2,8,1,0
911661,11,1,66,106,21,9,29,29,22,19,23,3,12,215,24,28,2,3,10,0,1
911663,5,1,44,98,7,5,30,30,25,29,28,3,14,225,36,42,1,5,4,0,0
911664,10,1,44,103,31,5,33,33,20,18,26,1,17,255,38,41,3,1,4,0,0
911666,6,1,72,123,12,5,36,30,31,15,19,6,12,188,25,42,4,3,11,2,0
911676,4,1,47,76,13,9,36,30,32,15,25,3,12,232,36,36,3,1,5,0,0
911709,3,1,85,113,24,4,34,32,26,10,23,3,15,220,36,40,2,3,6,0,0
911731,22,1,78,106,3,2,27,26,26,26,20,3,14,204,23,23,3,2,16,0,1
911736,0,1,70,109,8,3,27,29,24,13,28,3,13,202,34,36,2,0,9,0,0
911753,31,1,15,87,6,3,32,33,24,16,17,7,12,212,30,32,1,1,12,0,0
911802,0,1,81,102,3,4,33,36,36,12,35,1,12,235,42,42,1,5,5,1,0
911818,4,1,91,139,24,4,25,29,24,19,23,2,17,305,42,42,2,0,8,4,0
911838,7,1,81,123,19,6,32,23,27,10,26,1,16,315,30,38,2,3,5,0,0
911914,5,1,84,125,27,4,24,36,22,10,34,3,14,213,42,31,2,3,10,0,0
911960,82,1,16,86,5,2,26,23,20,21,20,5,12,206,25,20,2,0,6,0,0
911966,22,0,90,121,17,6,21,33,23,20,22,4,12,200,42,23,7,5,10,0,0
911978,2,1,41,94,22,5,34,28,24,12,23,5,16,266,25,33,3,1,8,5,0
912025,2,1,42,78,4,3,36,35,26,22,24,2,14,230,29,33,2,2,20,0,0
912042,10,1,64,96,5,4,36,34,25,14,21,2,12,225,30,36,1,2,9,0,0
912079,27,1,97,120,18,5,25,34,17,21,23,2,16,239,37,26,3,0,7,0,0
912098,7,1,54,104,17,2,29,29,18,8,26,3,15,240,35,41,1,3,8,0,0
912106,14,0,92,113,19,4,26,25,13,13,26,2,12,270,31,34,1,2,8,0,1
912116,29,1,53,107,6,3,29,30,26,21,23,5,12,202,33,30,6,3,11,0,0
912123,13,1,76,107,4,3,28,28,26,24,20,2,12,204,35,34,2,0,8,0,0
